source,season_code,season,era,league,date,home_team,away_team,home_goals,away_goals,result,total_goals,home_shots,away_shots,total_shots,home_shots_on_target,away_shots_on_target,total_shots_on_target,home_fouls,away_fouls,total_fouls,home_corners,away_corners,total_corners,home_yellow,away_yellow,total_yellow,home_red,away_red,total_red,low_scoring_1_or_less,low_scoring_2_or_less,high_scoring_4_or_more,draw_flag,home_win_flag,away_win_flag,shot_conversion_rate,shot_on_target_rate
football-data.co.uk,0809,2008/2009,historical,Bundesliga,15/08/08,Bayern Munich,Hamburg,2,2,D,4,16,13,29,3,3,6,16,26,42,2,2,4,1,4,5,0,0,0,0,0,1,1,0,0,0.137931,0.206897
football-data.co.uk,0809,2008/2009,historical,Bundesliga,16/08/08,Bielefeld,Werder Bremen,2,2,D,4,13,17,30,5,5,10,18,13,31,4,4,8,2,2,4,0,0,0,0,0,1,1,0,0,0.133333,0.333333
football-data.co.uk,0809,2008/2009,historical,Bundesliga,16/08/08,Cottbus,Hoffenheim,0,3,A,3,14,17,31,1,8,9,21,32,53,4,2,6,2,2,4,0,0,0,0,0,0,0,0,1,0.096774,0.290323
football-data.co.uk,0809,2008/2009,historical,Bundesliga,16/08/08,Karlsruhe,Bochum,1,0,H,1,16,12,28,3,1,4,20,22,42,1,4,5,2,4,6,0,0,0,1,1,0,0,1,0,0.035714,0.142857
football-data.co.uk,0809,2008/2009,historical,Bundesliga,16/08/08,Leverkusen,Dortmund,2,3,A,5,19,11,30,9,4,13,13,20,33,7,3,10,3,2,5,0,0,0,0,0,1,0,0,1,0.166667,0.433333
football-data.co.uk,0809,2008/2009,historical,Bundesliga,16/08/08,Schalke 04,Hannover,3,0,H,3,11,11,22,5,4,9,19,17,36,6,7,13,1,2,3,0,0,0,0,0,0,0,1,0,0.136364,0.409091
football-data.co.uk,0809,2008/2009,historical,Bundesliga,16/08/08,Wolfsburg,FC Koln,2,1,H,3,17,4,21,9,2,11,10,13,23,10,3,13,0,2,2,0,0,0,0,0,0,0,1,0,0.142857,0.52381
football-data.co.uk,0809,2008/2009,historical,Bundesliga,17/08/08,Ein Frankfurt,Hertha,0,2,A,2,18,5,23,1,4,5,7,19,26,11,2,13,0,1,1,0,0,0,0,1,0,0,0,1,0.086957,0.217391
football-data.co.uk,0809,2008/2009,historical,Bundesliga,17/08/08,M'gladbach,Stuttgart,1,3,A,4,14,20,34,6,6,12,20,15,35,4,3,7,3,2,5,0,0,0,0,0,1,0,0,1,0.117647,0.352941
football-data.co.uk,0809,2008/2009,historical,Bundesliga,22/08/08,Hannover,Cottbus,0,0,D,0,13,6,19,6,4,10,17,25,42,6,1,7,4,3,7,0,1,1,1,1,0,1,0,0,0.0,0.526316
football-data.co.uk,0809,2008/2009,historical,Bundesliga,23/08/08,Dortmund,Bayern Munich,1,1,D,2,16,16,32,6,3,9,24,17,41,6,14,20,2,3,5,0,1,1,0,1,0,1,0,0,0.0625,0.28125
football-data.co.uk,0809,2008/2009,historical,Bundesliga,23/08/08,Hamburg,Karlsruhe,2,1,H,3,12,10,22,3,5,8,17,18,35,6,6,12,2,3,5,0,0,0,0,0,0,0,1,0,0.136364,0.363636
football-data.co.uk,0809,2008/2009,historical,Bundesliga,23/08/08,Hertha,Bielefeld,1,1,D,2,27,6,33,5,2,7,8,19,27,11,3,14,1,3,4,0,0,0,0,1,0,1,0,0,0.060606,0.212121
football-data.co.uk,0809,2008/2009,historical,Bundesliga,23/08/08,Hoffenheim,M'gladbach,1,0,H,1,24,7,31,10,2,12,17,27,44,11,2,13,1,4,5,0,0,0,1,1,0,0,1,0,0.032258,0.387097
football-data.co.uk,0809,2008/2009,historical,Bundesliga,23/08/08,Stuttgart,Leverkusen,0,2,A,2,9,16,25,1,7,8,10,23,33,3,7,10,1,4,5,0,0,0,0,1,0,0,0,1,0.08,0.32
football-data.co.uk,0809,2008/2009,historical,Bundesliga,23/08/08,Werder Bremen,Schalke 04,1,1,D,2,15,14,29,7,5,12,17,12,29,5,6,11,0,1,1,0,0,0,0,1,0,1,0,0,0.068966,0.413793
football-data.co.uk,0809,2008/2009,historical,Bundesliga,24/08/08,Bochum,Wolfsburg,2,2,D,4,9,18,27,3,6,9,22,22,44,3,6,9,2,5,7,0,0,0,0,0,1,1,0,0,0.148148,0.333333
football-data.co.uk,0809,2008/2009,historical,Bundesliga,24/08/08,FC Koln,Ein Frankfurt,1,1,D,2,7,9,16,2,1,3,20,19,39,0,2,2,4,2,6,0,0,0,0,1,0,1,0,0,0.125,0.1875
football-data.co.uk,0809,2008/2009,historical,Bundesliga,29/08/08,Karlsruhe,FC Koln,0,2,A,2,12,10,22,2,3,5,13,14,27,3,5,8,1,0,1,0,0,0,0,1,0,0,0,1,0.090909,0.227273
football-data.co.uk,0809,2008/2009,historical,Bundesliga,30/08/08,Bielefeld,Hamburg,2,4,A,6,14,19,33,7,5,12,13,21,34,4,4,8,2,2,4,0,0,0,0,0,1,0,0,1,0.181818,0.363636
