era,match_category,match_count,avg_goals,avg_shots,avg_sot,avg_shot_conversion,low_score_2_rate,high_score_4_rate,draw_rate,home_win_rate,away_win_rate,avg_fouls,avg_yellow,avg_red
2008-2012,other_vs_other,3440,2.478779,25.52093,9.742151,0.099017,0.545349,0.239535,0.300291,0.456686,0.243023,31.04478,3.980523,0.247674
2008-2012,top6_vs_other,3264,2.806066,26.068321,10.250306,0.109601,0.466299,0.310049,0.216912,0.482537,0.300551,29.818265,3.834865,0.242341
2008-2012,top6_vs_top6,600,2.863333,26.368333,10.376667,0.110242,0.46,0.311667,0.268333,0.491667,0.24,30.821667,4.446667,0.281667
2012-2016,other_vs_other,3439,2.543763,24.9369,8.756034,0.103684,0.537366,0.262286,0.289328,0.436755,0.273917,28.256179,4.206746,0.263158
2012-2016,top6_vs_other,3264,2.851716,25.522978,9.317708,0.113446,0.457721,0.32598,0.213542,0.466912,0.319547,26.609069,3.854779,0.216299
2012-2016,top6_vs_top6,600,2.778333,24.936667,9.2,0.113167,0.466667,0.305,0.258333,0.481667,0.26,27.435,4.45576,0.285
2016-2020,other_vs_other,3392,2.521226,23.964033,8.474646,0.107182,0.525354,0.245873,0.282134,0.446934,0.270932,26.300413,4.1875,0.211085
2016-2020,top6_vs_other,3218,3.012119,24.943754,9.33064,0.123354,0.412057,0.350218,0.201057,0.470789,0.328154,24.422933,3.890615,0.18179
2016-2020,top6_vs_top6,592,2.888514,24.361486,9.364865,0.121074,0.449324,0.331081,0.263514,0.444257,0.29223,25.003378,4.346284,0.201014
2020-2025,other_vs_other,4199,2.644677,24.458442,8.495356,0.110463,0.51155,0.2784,0.297928,0.403668,0.298404,25.248392,4.254823,0.203382
2020-2025,top6_vs_other,4032,2.964782,25.0625,9.133681,0.121125,0.432292,0.343006,0.207589,0.447421,0.34499,23.173363,3.899306,0.179563
2020-2025,top6_vs_top6,750,2.990667,24.657333,8.969333,0.123766,0.434667,0.354667,0.256,0.448,0.296,23.494667,4.148,0.172
