season_code,season,match_category,match_count,avg_goals,avg_shots,avg_sot,avg_shot_conversion,low_score_2_rate,high_score_4_rate,draw_rate,home_win_rate,away_win_rate,avg_fouls,avg_yellow,avg_red
0809,2008/2009,other_vs_other,860,2.465116,25.768605,9.740698,0.097653,0.561628,0.225581,0.282558,0.480233,0.237209,32.923256,4.026744,0.273256
0809,2008/2009,top6_vs_other,816,2.721814,26.324755,10.089461,0.105012,0.482843,0.286765,0.209559,0.457108,0.333333,31.78799,3.841912,0.226716
0809,2008/2009,top6_vs_top6,150,2.946667,27.473333,10.633333,0.109782,0.453333,0.373333,0.313333,0.5,0.186667,33.58,4.52,0.28
0910,2009/2010,other_vs_other,860,2.498837,25.488372,9.737209,0.100449,0.538372,0.247674,0.293023,0.462791,0.244186,31.655814,3.869767,0.247674
0910,2009/2010,top6_vs_other,816,2.786765,25.960784,10.242647,0.109946,0.474265,0.308824,0.224265,0.5,0.275735,31.189951,3.974265,0.254902
0910,2009/2010,top6_vs_top6,150,2.9,25.613333,10.16,0.114366,0.44,0.293333,0.273333,0.473333,0.253333,32.04,4.533333,0.293333
1011,2010/2011,other_vs_other,860,2.505814,25.365116,9.651163,0.099956,0.534884,0.259302,0.304651,0.448837,0.246512,30.027907,3.862791,0.218605
1011,2010/2011,top6_vs_other,816,2.791667,26.036765,10.248775,0.109006,0.468137,0.294118,0.22549,0.479167,0.295343,28.522059,3.665441,0.231618
1011,2010/2011,top6_vs_top6,150,2.74,25.913333,10.0,0.107306,0.473333,0.273333,0.226667,0.506667,0.266667,29.32,4.213333,0.286667
1112,2011/2012,other_vs_other,860,2.445349,25.461628,9.839535,0.09801,0.546512,0.225581,0.32093,0.434884,0.244186,29.570431,4.162791,0.251163
1112,2011/2012,top6_vs_other,816,2.92402,25.95098,10.420343,0.114442,0.439951,0.35049,0.208333,0.493873,0.297794,27.770552,3.857843,0.256127
1112,2011/2012,top6_vs_top6,150,2.866667,26.473333,10.713333,0.109515,0.473333,0.306667,0.26,0.486667,0.253333,28.346667,4.52,0.266667
1213,2012/2013,other_vs_other,859,2.600698,25.018626,9.781141,0.106006,0.520373,0.275902,0.2922,0.443539,0.264261,28.607683,4.206054,0.261932
1213,2012/2013,top6_vs_other,816,2.886029,25.573529,10.420343,0.114457,0.45098,0.341912,0.221814,0.469363,0.308824,26.942402,3.893382,0.259804
1213,2012/2013,top6_vs_top6,150,2.866667,24.606667,9.76,0.119908,0.453333,0.3,0.28,0.453333,0.266667,28.066667,4.273333,0.306667
1314,2013/2014,other_vs_other,860,2.581395,25.653488,8.711628,0.101558,0.526744,0.261628,0.266279,0.462791,0.27093,28.237209,4.026744,0.256977
1314,2013/2014,top6_vs_other,816,2.904412,26.185049,9.165441,0.111917,0.455882,0.344363,0.197304,0.465686,0.33701,26.395833,3.63848,0.196078
1314,2013/2014,top6_vs_top6,150,2.946667,25.546667,9.446667,0.115783,0.433333,0.34,0.24,0.493333,0.266667,26.86,4.4,0.293333
1415,2014/2015,other_vs_other,860,2.42093,24.490698,8.102326,0.099933,0.572093,0.240698,0.3,0.419767,0.280233,28.477907,4.204651,0.253488
1415,2014/2015,top6_vs_other,816,2.852941,25.35049,8.928922,0.115071,0.449755,0.308824,0.21201,0.47549,0.3125,26.988971,3.957108,0.203431
1415,2014/2015,top6_vs_top6,150,2.586667,25.12,8.833333,0.105703,0.533333,0.286667,0.286667,0.48,0.233333,28.326667,4.90604,0.246667
1516,2015/2016,other_vs_other,860,2.572093,24.584884,8.430233,0.107242,0.530233,0.27093,0.298837,0.42093,0.280233,27.702326,4.389535,0.280233
1516,2015/2016,top6_vs_other,816,2.76348,24.982843,8.756127,0.11234,0.474265,0.308824,0.223039,0.457108,0.319853,26.109069,3.930147,0.205882
1516,2015/2016,top6_vs_top6,150,2.713333,24.473333,8.76,0.111275,0.446667,0.293333,0.226667,0.5,0.273333,26.486667,4.246667,0.293333
1617,2016/2017,other_vs_other,860,2.593023,24.459302,8.367442,0.107162,0.512791,0.259302,0.256977,0.49186,0.251163,26.90814,4.048837,0.233721
1617,2016/2017,top6_vs_other,815,3.096933,25.548466,9.242945,0.123019,0.396319,0.370552,0.190184,0.484663,0.325153,25.723926,3.912883,0.17546
1617,2016/2017,top6_vs_top6,150,2.793333,24.88,8.953333,0.114215,0.453333,0.293333,0.3,0.466667,0.233333,26.56,4.493333,0.22
1718,2017/2018,other_vs_other,860,2.372093,23.980233,8.039535,0.100746,0.551163,0.211628,0.277907,0.455814,0.266279,26.419767,4.024419,0.184884
1718,2017/2018,top6_vs_other,816,3.0,25.609069,9.17402,0.119061,0.425245,0.343137,0.210784,0.455882,0.333333,24.071078,3.671569,0.172794
1718,2017/2018,top6_vs_top6,150,3.06,24.993333,9.253333,0.123256,0.433333,0.393333,0.24,0.426667,0.333333,25.646667,4.3,0.206667
1819,2018/2019,other_vs_other,860,2.576744,24.072093,8.780233,0.108613,0.519767,0.269767,0.30814,0.417442,0.274419,25.674419,4.289535,0.212791
1819,2018/2019,top6_vs_other,816,2.903186,24.382353,9.324755,0.122556,0.433824,0.324755,0.208333,0.474265,0.317402,23.526961,3.762255,0.169118
1819,2018/2019,top6_vs_top6,150,2.893333,23.966667,9.706667,0.121685,0.473333,0.346667,0.246667,0.473333,0.28,23.773333,4.306667,0.246667
1920,2019/2020,other_vs_other,812,2.544335,23.307882,8.725369,0.112504,0.517241,0.242611,0.285714,0.421182,0.293103,26.19335,4.399015,0.213054
1920,2019/2020,top6_vs_other,771,3.050584,24.194553,9.595331,0.129096,0.391699,0.363165,0.194553,0.468223,0.337224,24.368353,4.23476,0.211414
1920,2019/2020,top6_vs_top6,142,2.802817,23.56338,9.556338,0.12537,0.43662,0.288732,0.267606,0.408451,0.323944,23.978873,4.28169,0.126761
2021,2020/2021,other_vs_other,860,2.612791,22.548837,8.49186,0.118599,0.515116,0.282558,0.302326,0.383721,0.313953,26.287209,3.92907,0.183721
2021,2020/2021,top6_vs_other,816,2.990196,23.528186,9.105392,0.130762,0.433824,0.334559,0.203431,0.41299,0.383578,24.231618,3.746324,0.159314
2021,2020/2021,top6_vs_top6,150,2.846667,23.166667,8.806667,0.125593,0.473333,0.313333,0.26,0.406667,0.333333,24.68,4.02,0.233333
2122,2021/2022,other_vs_other,860,2.675581,24.740698,8.462791,0.109904,0.503488,0.289535,0.304651,0.411628,0.283721,25.283721,4.456977,0.20814
2122,2021/2022,top6_vs_other,816,2.925245,25.23652,8.984069,0.118019,0.457108,0.35049,0.210784,0.447304,0.341912,22.955882,3.859069,0.186275
2122,2021/2022,top6_vs_top6,150,2.96,24.14,8.333333,0.125178,0.426667,0.346667,0.253333,0.413333,0.333333,23.186667,4.18,0.126667
2223,2022/2023,other_vs_other,860,2.632558,24.64186,8.462791,0.109351,0.512791,0.25814,0.295349,0.433721,0.27093,25.104651,4.316279,0.231395
2223,2022/2023,top6_vs_other,816,2.871324,25.362745,9.023284,0.116309,0.447304,0.311275,0.197304,0.470588,0.332108,23.077206,3.879902,0.183824
2223,2022/2023,top6_vs_top6,150,2.96,25.133333,9.193333,0.121257,0.446667,0.333333,0.186667,0.52,0.293333,24.0,4.393333,0.166667
2324,2023/2024,other_vs_other,810,2.67284,25.966667,8.782716,0.104086,0.512346,0.281481,0.319753,0.397531,0.282716,24.828395,4.425926,0.18642
2324,2023/2024,top6_vs_other,792,3.058081,26.132576,9.459596,0.119619,0.392677,0.371212,0.200758,0.467172,0.332071,23.02399,4.098485,0.199495
2324,2023/2024,top6_vs_top6,150,3.113333,25.893333,9.346667,0.121368,0.433333,0.406667,0.3,0.42,0.28,23.373333,4.44,0.173333
2425,2024/2025,other_vs_other,809,2.630408,24.483313,8.280593,0.109975,0.514215,0.280593,0.266996,0.390606,0.342398,24.679852,4.149567,0.206428
2425,2024/2025,top6_vs_other,792,2.982323,25.084596,9.104798,0.120863,0.429293,0.348485,0.22601,0.439394,0.334596,22.555556,3.919192,0.169192
2425,2024/2025,top6_vs_top6,150,3.073333,24.953333,9.166667,0.125434,0.393333,0.373333,0.28,0.48,0.24,22.233333,3.706667,0.16
