metric,best_split_code,best_split_season,before_start,before_end,after_start,after_end,before_avg,after_avg,diff,abs_diff,pct_change,before_n,after_n
avg_goals,1617,2016/2017,2008/2009,2015/2016,2016/2017,2024/2025,2.678625,2.797333,0.118708,0.118708,0.044317,8,9
avg_shots,1415,2014/2015,2008/2009,2013/2014,2014/2015,2024/2025,25.7425,24.651273,-1.091227,1.091227,-0.04239,6,11
avg_shots_on_target,1314,2013/2014,2008/2009,2012/2013,2013/2014,2024/2025,10.0302,8.830167,-1.200033,1.200033,-0.119642,5,12
avg_shot_conversion,1617,2016/2017,2008/2009,2015/2016,2016/2017,2024/2025,0.10675,0.116011,0.009261,0.009261,0.086755,8,9
low_score_2_rate,1617,2016/2017,2008/2009,2015/2016,2016/2017,2024/2025,0.499475,0.468889,-0.030586,0.030586,-0.061237,8,9
high_score_4_rate,1112,2011/2012,2008/2009,2010/2011,2011/2012,2024/2025,0.2733,0.302364,0.029064,0.029064,0.106346,3,14
draw_rate,1314,2013/2014,2008/2009,2012/2013,2013/2014,2024/2025,0.26028,0.249925,-0.010355,0.010355,-0.039784,5,12
home_win_rate,2021,2020/2021,2008/2009,2019/2020,2020/2021,2024/2025,0.460733,0.42698,-0.033753,0.033753,-0.07326,12,5
away_win_rate,1213,2012/2013,2008/2009,2011/2012,2012/2013,2024/2025,0.268475,0.304785,0.03631,0.03631,0.135244,4,13
avg_fouls,1112,2011/2012,2008/2009,2010/2011,2011/2012,2024/2025,31.082,25.764357,-5.317643,5.317643,-0.171084,3,14
avg_yellow,1112,2011/2012,2008/2009,2010/2011,2011/2012,2024/2025,3.919667,4.0755,0.155833,0.155833,0.039757,3,14
avg_red,1617,2016/2017,2008/2009,2015/2016,2016/2017,2024/2025,0.24625,0.193333,-0.052917,0.052917,-0.21489,8,9
