season,country,league,event_count,attempts,corners,fouls,cards,key_passes,failed_through_balls,fast_breaks,goals,shots_on_target,box_attempts,fast_break_attempts,match_count,events_per_match,attempts_per_match,key_passes_per_match,corners_per_match,fouls_per_match,cards_per_match,fast_breaks_per_match,goals_per_match_from_events,key_pass_rate,attempt_rate,fast_break_attempt_rate,box_attempt_rate,on_target_rate
2012,france,F1,39542,9089,3580,10417,1483,6518,1711,193,925,3052,4711,193,380,104.058,23.918,17.153,9.421,27.413,3.903,0.508,2.434,0.16484,0.22986,0.02123,0.51832,0.33579
2012,germany,D1,32712,7548,2728,8607,1086,5572,1781,247,836,2687,4199,247,306,106.902,24.667,18.209,8.915,28.127,3.549,0.807,2.732,0.17034,0.23074,0.03272,0.55631,0.35599
2012,italy,I1,39845,9581,3692,9856,1716,6992,2094,253,924,3135,4616,253,380,104.855,25.213,18.4,9.716,25.937,4.516,0.666,2.432,0.17548,0.24046,0.02641,0.48179,0.32721
2012,spain,SP1,38773,9126,3809,9358,2196,6590,1911,282,985,3256,4832,282,380,102.034,24.016,17.342,10.024,24.626,5.779,0.742,2.592,0.16996,0.23537,0.0309,0.52948,0.35678
2013,france,F1,38075,8915,3656,9596,1359,6491,2097,177,952,3082,4688,177,380,100.197,23.461,17.082,9.621,25.253,3.576,0.466,2.505,0.17048,0.23414,0.01985,0.52586,0.34571
2013,germany,D1,33469,7757,2921,8746,1209,5645,1667,261,894,2771,4338,261,308,108.666,25.185,18.328,9.484,28.396,3.925,0.847,2.903,0.16866,0.23177,0.03365,0.55924,0.35723
2013,italy,I1,41750,10013,3892,10388,2035,7324,1889,342,1000,3290,4753,342,379,110.158,26.42,19.325,10.269,27.409,5.369,0.902,2.639,0.17543,0.23983,0.03416,0.47468,0.32857
2013,spain,SP1,40781,9876,4192,9643,2270,7203,1977,292,1085,3461,5176,292,380,107.318,25.989,18.955,11.032,25.376,5.974,0.768,2.855,0.17663,0.24217,0.02957,0.5241,0.35045
2014,england,E0,29089,8656,3419,6377,1077,6439,1325,124,916,2848,4627,124,380,76.55,22.779,16.945,8.997,16.782,2.834,0.326,2.411,0.22136,0.29757,0.01433,0.53454,0.32902
2014,france,F1,37372,8901,3590,9460,1331,6521,1774,130,929,3053,4785,130,379,98.607,23.485,17.206,9.472,24.96,3.512,0.343,2.451,0.17449,0.23817,0.01461,0.53758,0.343
2014,germany,D1,29471,7281,2668,7545,1016,5370,1303,192,846,2623,3986,192,308,95.685,23.64,17.435,8.662,24.497,3.299,0.623,2.747,0.18221,0.24706,0.02637,0.54745,0.36025
2014,italy,I1,40746,10140,3856,10035,1910,7398,1601,248,1031,3336,4861,248,380,107.226,26.684,19.468,10.147,26.408,5.026,0.653,2.713,0.18156,0.24886,0.02446,0.47939,0.32899
2014,spain,SP1,39750,9583,4166,9413,2058,7010,1864,245,1045,3306,5186,245,380,104.605,25.218,18.447,10.963,24.771,5.416,0.645,2.75,0.17635,0.24108,0.02557,0.54117,0.34499
2015,england,E0,34906,9832,4011,7994,1457,7320,1469,119,975,3120,5409,119,380,91.858,25.874,19.263,10.555,21.037,3.834,0.313,2.566,0.20971,0.28167,0.0121,0.55014,0.31733
2015,france,F1,37348,8729,3484,9562,1380,6307,1705,132,945,2965,4804,132,380,98.284,22.971,16.597,9.168,25.163,3.632,0.347,2.487,0.16887,0.23372,0.01512,0.55035,0.33967
2015,germany,D1,31444,7536,2778,8170,1122,5520,1443,189,800,2631,4216,189,307,102.423,24.547,17.98,9.049,26.612,3.655,0.616,2.606,0.17555,0.23966,0.02508,0.55945,0.34912
2015,italy,I1,41728,10003,3925,10499,2017,7487,1761,128,1024,3213,5144,128,380,109.811,26.324,19.703,10.329,27.629,5.308,0.337,2.695,0.17942,0.23972,0.0128,0.51425,0.3212
2015,spain,SP1,35526,8125,3462,8684,1977,5732,1676,190,908,2780,4547,190,380,93.489,21.382,15.084,9.111,22.853,5.203,0.5,2.389,0.16135,0.22871,0.02338,0.55963,0.34215
2016,england,E0,34192,9759,4058,7640,1275,7296,1495,64,1031,3175,5489,64,380,89.979,25.682,19.2,10.679,20.105,3.355,0.168,2.713,0.21338,0.28542,0.00656,0.56246,0.32534
2016,france,F1,36037,8470,3460,9093,1552,6252,1579,60,927,2949,4706,60,380,94.834,22.289,16.453,9.105,23.929,4.084,0.158,2.439,0.17349,0.23504,0.00708,0.55561,0.34817
2016,germany,D1,31452,7629,2807,8075,1198,5657,1470,232,837,2772,4514,232,308,102.117,24.769,18.367,9.114,26.218,3.89,0.753,2.718,0.17986,0.24256,0.03041,0.59169,0.36335
2016,italy,I1,40700,9544,3793,10324,2004,7062,1770,58,942,3035,4892,58,380,107.105,25.116,18.584,9.982,27.168,5.274,0.153,2.479,0.17351,0.2345,0.00608,0.51257,0.318
2016,spain,SP1,37621,8793,3692,9100,2128,6398,1815,183,1011,3118,5137,183,380,99.003,23.139,16.837,9.716,23.947,5.6,0.482,2.661,0.17006,0.23373,0.02081,0.58421,0.3546
2017,england,E0,20733,5665,2251,4758,873,4161,855,39,630,1878,3170,39,220,94.241,25.75,18.914,10.232,21.627,3.968,0.177,2.864,0.20069,0.27324,0.00688,0.55958,0.33151
2017,france,F1,20072,4890,1910,4985,786,3592,907,19,521,1648,2705,19,208,96.5,23.51,17.269,9.183,23.966,3.779,0.091,2.505,0.17896,0.24362,0.00389,0.55317,0.33701
