metric,raw_column,split_code,split_season,league,before_match_count,after_match_count,before_avg,after_avg,diff,pct_change
avg_goals,total_goals,1617,2016/2017,Bundesliga,2448,2753,2.901552,3.081003,0.17945,0.061846
avg_goals,total_goals,1617,2016/2017,La Liga,3040,3420,2.767105,2.609942,-0.157164,-0.056797
avg_goals,total_goals,1617,2016/2017,Ligue 1,3040,3170,2.443092,2.719243,0.276151,0.113033
avg_goals,total_goals,1617,2016/2017,Premier League,3040,3420,2.710526,2.844444,0.133918,0.049407
avg_goals,total_goals,1617,2016/2017,Serie A,3039,3420,2.614347,2.77807,0.163723,0.062625
avg_shots,total_shots,1415,2014/2015,Bundesliga,1836,3365,26.220588,25.79584,-0.424749,-0.016199
avg_shots,total_shots,1415,2014/2015,La Liga,2280,4180,25.917105,23.642105,-2.275,-0.08778
avg_shots,total_shots,1415,2014/2015,Ligue 1,2280,3930,24.539912,24.128499,-0.411414,-0.016765
avg_shots,total_shots,1415,2014/2015,Premier League,2280,4180,25.275877,25.463158,0.187281,0.007409
avg_shots,total_shots,1415,2014/2015,Serie A,2279,4180,26.853444,24.414115,-2.43933,-0.090839
avg_shots_on_target,total_shots_on_target,1314,2013/2014,Bundesliga,1530,3671,9.364052,9.473985,0.109933,0.01174
avg_shots_on_target,total_shots_on_target,1314,2013/2014,La Liga,1900,4560,9.42,8.342105,-1.077895,-0.114426
avg_shots_on_target,total_shots_on_target,1314,2013/2014,Ligue 1,1900,4310,8.406316,8.487703,0.081387,0.009682
avg_shots_on_target,total_shots_on_target,1314,2013/2014,Premier League,1900,4560,13.866316,8.781798,-5.084518,-0.366681
avg_shots_on_target,total_shots_on_target,1314,2013/2014,Serie A,1899,4560,8.963665,9.160526,0.196861,0.021962
avg_shot_conversion,shot_conversion_rate,1617,2016/2017,Bundesliga,2448,2753,0.11289,0.12191,0.00902,0.079901
avg_shot_conversion,shot_conversion_rate,1617,2016/2017,La Liga,3040,3420,0.11057,0.112084,0.001514,0.013695
avg_shot_conversion,shot_conversion_rate,1617,2016/2017,Ligue 1,3040,3170,0.103246,0.11356,0.010314,0.099898
avg_shot_conversion,shot_conversion_rate,1617,2016/2017,Premier League,3040,3420,0.108932,0.114268,0.005336,0.048987
avg_shot_conversion,shot_conversion_rate,1617,2016/2017,Serie A,3039,3420,0.099294,0.119151,0.019857,0.199982
low_score_2_rate,low_scoring_2_or_less,1617,2016/2017,Bundesliga,2448,2753,0.441585,0.406102,-0.035483,-0.080353
low_score_2_rate,low_scoring_2_or_less,1617,2016/2017,La Liga,3040,3420,0.478289,0.52193,0.04364,0.091243
low_score_2_rate,low_scoring_2_or_less,1617,2016/2017,Ligue 1,3040,3170,0.564803,0.482965,-0.081837,-0.144895
low_score_2_rate,low_scoring_2_or_less,1617,2016/2017,Premier League,3040,3420,0.478618,0.456725,-0.021893,-0.045743
low_score_2_rate,low_scoring_2_or_less,1617,2016/2017,Serie A,3039,3420,0.522869,0.466374,-0.056495,-0.108048
high_score_4_rate,high_scoring_4_or_more,1112,2011/2012,Bundesliga,918,4283,0.326797,0.365165,0.038367,0.117404
high_score_4_rate,high_scoring_4_or_more,1112,2011/2012,La Liga,1140,5320,0.296491,0.274624,-0.021867,-0.073753
high_score_4_rate,high_scoring_4_or_more,1112,2011/2012,Ligue 1,1140,5070,0.216667,0.27574,0.059073,0.272645
high_score_4_rate,high_scoring_4_or_more,1112,2011/2012,Premier League,1140,5320,0.282456,0.315414,0.032957,0.116681
high_score_4_rate,high_scoring_4_or_more,1112,2011/2012,Serie A,1140,5319,0.254386,0.29122,0.036834,0.144796
home_win_rate,home_win_flag,2021,2020/2021,Bundesliga,3672,1529,0.451253,0.437541,-0.013712,-0.030386
home_win_rate,home_win_flag,2021,2020/2021,La Liga,4560,1900,0.479605,0.442632,-0.036974,-0.077092
home_win_rate,home_win_flag,2021,2020/2021,Ligue 1,4458,1752,0.452221,0.416667,-0.035554,-0.078621
home_win_rate,home_win_flag,2021,2020/2021,Premier League,4560,1900,0.461184,0.432105,-0.029079,-0.063053
home_win_rate,home_win_flag,2021,2020/2021,Serie A,4559,1900,0.457776,0.407368,-0.050407,-0.110114
away_win_rate,away_win_flag,1213,2012/2013,Bundesliga,1224,3977,0.302288,0.307518,0.005231,0.017304
away_win_rate,away_win_flag,1213,2012/2013,La Liga,1520,4940,0.267105,0.287247,0.020142,0.075407
away_win_rate,away_win_flag,1213,2012/2013,Ligue 1,1520,4690,0.258553,0.30064,0.042087,0.162779
away_win_rate,away_win_flag,1213,2012/2013,Premier League,1520,4940,0.267763,0.317206,0.049443,0.184653
away_win_rate,away_win_flag,1213,2012/2013,Serie A,1520,4939,0.253289,0.310994,0.057705,0.227821
avg_fouls,total_fouls,1112,2011/2012,Bundesliga,918,4283,34.205882,26.523465,-7.682417,-0.224593
avg_fouls,total_fouls,1112,2011/2012,La Liga,1140,5320,31.407895,27.205451,-4.202444,-0.133802
avg_fouls,total_fouls,1112,2011/2012,Ligue 1,1140,5068,32.709649,26.318666,-6.390983,-0.195385
avg_fouls,total_fouls,1112,2011/2012,Premier League,1140,5320,23.27807,21.432519,-1.845551,-0.079283
avg_fouls,total_fouls,1112,2011/2012,Serie A,1140,5319,34.416667,27.583192,-6.833474,-0.198551
avg_red,total_red,1617,2016/2017,Bundesliga,2448,2753,0.177288,0.147839,-0.029449,-0.166108
avg_red,total_red,1617,2016/2017,La Liga,3040,3420,0.333882,0.230702,-0.10318,-0.309031
avg_red,total_red,1617,2016/2017,Ligue 1,3040,3170,0.240132,0.250789,0.010657,0.04438
avg_red,total_red,1617,2016/2017,Premier League,3040,3420,0.162171,0.116374,-0.045797,-0.282398
avg_red,total_red,1617,2016/2017,Serie A,3039,3420,0.303389,0.215789,-0.0876,-0.288737
