season_code,season,league,match_count,avg_goals,avg_shots,avg_sot,low_score_2_rate,draw_rate,avg_fouls,avg_yellow
0809,2008/2009,Bundesliga,306,2.922,27.827,9.559,0.4412,0.2418,36.056,3.81
0809,2008/2009,La Liga,380,2.897,26.405,9.521,0.4737,0.2184,33.303,5.253
0809,2008/2009,Ligue 1,380,2.258,25.274,8.205,0.5947,0.2947,33.626,3.311
0809,2008/2009,Premier League,380,2.479,24.358,13.155,0.5211,0.2553,23.224,3.153
0809,2008/2009,Serie A,380,2.6,27.247,9.329,0.5421,0.25,36.839,4.363
0910,2009/2010,Bundesliga,306,2.83,25.951,9.353,0.451,0.281,33.899,3.464
0910,2009/2010,La Liga,380,2.713,26.037,9.361,0.4947,0.25,31.826,4.995
0910,2009/2010,Ligue 1,380,2.411,25.268,8.476,0.5684,0.2553,32.492,3.495
0910,2009/2010,Premier League,380,2.771,24.447,13.653,0.4737,0.2526,24.195,3.255
0910,2009/2010,Serie A,380,2.611,26.892,9.021,0.5105,0.2684,35.455,4.547
1011,2010/2011,Bundesliga,306,2.922,25.592,9.209,0.4346,0.2059,32.663,3.392
1011,2010/2011,La Liga,380,2.742,25.803,9.603,0.4632,0.2079,29.095,5.045
1011,2010/2011,Ligue 1,380,2.342,24.837,8.345,0.5842,0.3421,32.011,3.303
1011,2010/2011,Premier League,380,2.797,24.866,13.613,0.4579,0.2921,22.416,3.253
1011,2010/2011,Serie A,380,2.513,27.432,8.821,0.5474,0.2553,30.955,3.945
1112,2011/2012,Bundesliga,306,2.859,25.523,9.369,0.4444,0.2582,32.431,3.49
1112,2011/2012,La Liga,380,2.763,25.984,9.342,0.4579,0.2474,29.384,5.6
1112,2011/2012,Ligue 1,380,2.516,24.771,8.518,0.5579,0.2842,31.423,3.639
1112,2011/2012,Premier League,380,2.805,25.968,14.674,0.4632,0.2447,20.363,3.1
1112,2011/2012,Serie A,380,2.558,26.524,8.795,0.5316,0.2921,30.474,4.339
1213,2012/2013,Bundesliga,306,2.935,25.19,9.33,0.4444,0.2549,31.542,3.68
1213,2012/2013,La Liga,380,2.871,25.979,9.274,0.4632,0.2211,28.429,5.421
1213,2012/2013,Ligue 1,380,2.545,23.584,8.487,0.5395,0.2842,28.311,3.263
1213,2012/2013,Premier League,380,2.797,25.137,14.237,0.4421,0.2842,20.929,3.121
1213,2012/2013,Serie A,379,2.639,26.269,8.852,0.5224,0.2533,30.615,4.799
1314,2013/2014,Bundesliga,306,3.16,27.242,10.095,0.3889,0.2092,30.725,3.513
1314,2013/2014,La Liga,380,2.75,25.295,8.861,0.4737,0.2263,27.9,4.911
1314,2013/2014,Ligue 1,380,2.455,23.505,8.261,0.5632,0.2842,27.479,3.134
1314,2013/2014,Premier League,380,2.768,26.879,8.924,0.4842,0.2053,21.532,3.189
1314,2013/2014,Serie A,380,2.724,26.755,8.953,0.5079,0.2368,29.537,4.6
1415,2014/2015,Bundesliga,306,2.755,26.02,9.435,0.4869,0.268,30.536,3.624
1415,2014/2015,La Liga,380,2.655,23.755,8.368,0.5158,0.2395,28.445,5.287
1415,2014/2015,Ligue 1,380,2.492,22.816,7.979,0.5526,0.2316,27.532,3.355
1415,2014/2015,Premier League,380,2.566,25.911,8.405,0.5158,0.2447,22.689,3.589
1415,2014/2015,Serie A,380,2.695,26.345,8.647,0.4947,0.3158,30.332,4.799
1516,2015/2016,Bundesliga,306,2.83,25.634,9.507,0.4412,0.232,29.046,3.794
1516,2015/2016,La Liga,380,2.745,23.763,8.621,0.4842,0.2421,27.197,5.268
1516,2015/2016,Ligue 1,380,2.526,23.032,8.226,0.5579,0.2842,26.713,3.758
1516,2015/2016,Premier League,380,2.7,25.708,8.511,0.4711,0.2816,21.521,3.103
1516,2015/2016,Serie A,380,2.576,25.803,8.326,0.5263,0.25,30.395,4.866
1617,2016/2017,Bundesliga,306,2.866,24.895,8.843,0.451,0.2418,28.618,3.735
1617,2016/2017,La Liga,380,2.942,23.963,8.913,0.4368,0.2342,27.889,4.997
1617,2016/2017,Ligue 1,379,2.615,24.034,8.28,0.5145,0.248,25.037,3.301
1617,2016/2017,Premier League,380,2.8,25.497,8.668,0.4579,0.2211,22.721,3.632
1617,2016/2017,Serie A,380,2.955,26.492,9.334,0.4184,0.2105,27.926,4.4
1718,2017/2018,Bundesliga,306,2.794,25.193,9.007,0.4804,0.2712,26.722,3.382
1718,2017/2018,La Liga,380,2.695,23.997,8.563,0.4947,0.2263,27.687,5.016
1718,2017/2018,Ligue 1,380,2.718,24.816,8.597,0.4816,0.2526,26.145,3.834
1718,2017/2018,Premier League,380,2.679,24.447,8.395,0.4895,0.2605,20.703,3.045
1718,2017/2018,Serie A,380,2.676,25.582,8.739,0.4789,0.2184,25.553,4.071
1819,2018/2019,Bundesliga,306,3.18,26.85,9.673,0.3758,0.2386,22.376,3.454
1819,2018/2019,La Liga,380,2.587,24.308,8.424,0.5289,0.2895,27.082,5.171
1819,2018/2019,Ligue 1,380,2.558,24.671,8.332,0.5184,0.2895,26.355,3.674
1819,2018/2019,Premier League,380,2.821,25.279,8.708,0.4632,0.1868,20.458,3.211
1819,2018/2019,Serie A,380,2.682,20.418,10.474,0.4816,0.2842,26.097,4.65
1920,2019/2020,Bundesliga,306,3.209,26.529,9.624,0.3497,0.2222,23.373,4.007
1920,2019/2020,La Liga,380,2.479,22.6,7.847,0.5447,0.2763,27.453,5.132
1920,2019/2020,Ligue 1,279,2.523,24.333,8.337,0.5269,0.2509,25.996,3.803
1920,2019/2020,Premier League,380,2.721,24.724,8.55,0.4789,0.2421,21.466,3.353
1920,2019/2020,Serie A,380,3.037,21.147,11.416,0.3711,0.2237,27.547,5.089
2021,2020/2021,Bundesliga,306,3.033,24.65,9.291,0.4118,0.2647,24.69,3.624
2021,2020/2021,La Liga,380,2.508,21.347,7.405,0.5605,0.2868,26.492,4.458
2021,2020/2021,Ligue 1,380,2.761,23.421,8.139,0.4579,0.25,25.624,3.884
2021,2020/2021,Premier League,380,2.695,24.179,8.629,0.5,0.2184,21.774,2.871
2021,2020/2021,Serie A,380,3.053,21.903,10.592,0.4342,0.2553,27.497,4.392
2122,2021/2022,Bundesliga,306,3.118,25.719,9.493,0.415,0.2386,23.771,3.513
2122,2021/2022,La Liga,380,2.503,23.55,7.955,0.5553,0.2921,26.437,5.142
2122,2021/2022,Ligue 1,380,2.808,23.987,8.426,0.4974,0.2684,23.316,3.945
2122,2021/2022,Premier League,380,2.818,25.584,8.821,0.4605,0.2316,20.213,3.397
2122,2021/2022,Serie A,380,2.866,25.882,8.887,0.4421,0.2579,26.561,4.711
2223,2022/2023,Bundesliga,306,3.173,25.288,9.578,0.3954,0.2451,23.65,4.141
2223,2022/2023,La Liga,380,2.513,24.624,8.392,0.5237,0.2342,25.895,5.018
2223,2022/2023,Ligue 1,380,2.808,24.518,9.071,0.4368,0.2421,24.8,3.387
2223,2022/2023,Premier League,380,2.853,25.263,8.803,0.4737,0.2289,21.529,3.587
2223,2022/2023,Serie A,380,2.563,25.384,8.179,0.5447,0.2632,24.576,4.508
2324,2023/2024,Bundesliga,306,3.219,27.18,9.902,0.3758,0.2647,22.415,4.141
2324,2023/2024,La Liga,380,2.645,24.463,8.618,0.5395,0.2816,25.855,4.768
2324,2023/2024,Ligue 1,306,2.699,25.529,9.137,0.4706,0.2647,24.935,3.892
2324,2023/2024,Premier League,380,3.279,27.584,9.868,0.3526,0.2158,22.092,4.174
2324,2023/2024,Serie A,380,2.611,25.545,8.308,0.5079,0.2947,24.061,4.318
2425,2024/2025,Bundesliga,305,3.138,25.797,9.239,0.4,0.2525,21.416,3.856
2425,2024/2025,La Liga,380,2.618,23.692,8.137,0.5132,0.2553,24.732,4.482
2425,2024/2025,Ligue 1,306,2.977,24.693,9.314,0.4444,0.2026,24.016,3.748
2425,2024/2025,Premier League,380,2.934,25.918,9.1,0.4342,0.2447,22.066,4.05
2425,2024/2025,Serie A,380,2.561,24.055,8.071,0.5184,0.2842,25.003,3.821
