season_code,season,match_count,avg_goals,avg_shots,avg_shots_on_target,avg_shot_conversion,avg_shot_on_target_rate,low_score_1_rate,low_score_2_rate,high_score_4_rate,draw_rate,home_win_rate,away_win_rate,avg_fouls,avg_yellow,avg_red
0809,2008/2009,1826,2.619,26.157,9.97,0.1019,0.3842,0.2645,0.5175,0.2651,0.2525,0.4715,0.276,32.47,3.985,0.253
0910,2009/2010,1826,2.66,25.71,9.998,0.1058,0.3911,0.2541,0.5016,0.2788,0.2607,0.4803,0.259,31.479,3.971,0.255
1011,2010/2011,1826,2.653,25.71,9.947,0.1046,0.3883,0.2514,0.5,0.276,0.2629,0.4671,0.27,29.297,3.803,0.23
1112,2011/2012,1826,2.694,25.763,10.171,0.1063,0.3944,0.2459,0.4929,0.2881,0.2656,0.4655,0.2689,28.666,4.056,0.255
1213,2012/2013,1825,2.75,25.233,10.065,0.1109,0.3995,0.2466,0.4838,0.3074,0.2597,0.4559,0.2844,27.819,4.072,0.265
1314,2013/2014,1826,2.756,25.882,8.975,0.1074,0.347,0.2448,0.4874,0.305,0.2333,0.4666,0.3001,27.301,3.884,0.233
1415,2014/2015,1826,2.628,24.927,8.532,0.1072,0.3428,0.2683,0.5142,0.2749,0.2596,0.4496,0.2908,27.8,4.151,0.231
1516,2015/2016,1826,2.669,24.754,8.603,0.1099,0.3485,0.2563,0.4984,0.2897,0.259,0.4436,0.2974,26.89,4.173,0.248
1617,2016/2017,1825,2.835,24.98,8.807,0.1148,0.3532,0.2279,0.4559,0.3118,0.2307,0.4866,0.2827,26.351,4.025,0.207
1718,2017/2018,1826,2.709,24.791,8.646,0.1108,0.3495,0.2558,0.4852,0.2853,0.2448,0.4535,0.3018,25.307,3.889,0.181
1819,2018/2019,1826,2.749,24.202,9.1,0.1159,0.3815,0.2344,0.4775,0.3007,0.2585,0.4474,0.2941,24.559,4.055,0.196
1920,2019/2020,1725,2.792,23.725,9.183,0.121,0.3928,0.2186,0.4545,0.3003,0.2435,0.4412,0.3154,25.195,4.316,0.205
2021,2020/2021,1826,2.801,23.037,8.792,0.1246,0.3842,0.2223,0.4754,0.3083,0.2547,0.3987,0.3467,25.237,3.855,0.177
2122,2021/2022,1826,2.811,24.913,8.685,0.1148,0.3483,0.2327,0.4765,0.3215,0.2585,0.4277,0.3138,24.071,4.167,0.192
2223,2022/2023,1826,2.766,25.004,8.773,0.1134,0.3518,0.2344,0.4781,0.2881,0.2426,0.4573,0.3001,24.108,4.128,0.205
2324,2023/2024,1752,2.885,26.035,9.137,0.1126,0.3517,0.2158,0.4515,0.3328,0.2643,0.4309,0.3048,23.888,4.279,0.191
2425,2024/2025,1751,2.828,24.796,8.729,0.1162,0.3533,0.2216,0.4654,0.3192,0.2496,0.4203,0.3301,23.509,4.007,0.186
