season_code,season,league,team_match_count,avg_xg_for,avg_xga,avg_npxg_for,avg_npxga,avg_goals_for,avg_goals_against,avg_xpts,avg_ppda,avg_ppda_allowed,avg_deep,avg_deep_allowed
1415,2014/2015,Bundesliga,612,1.312059,1.312059,1.223801,1.223801,1.377451,1.377451,1.377129,9.835023,9.835023,5.620915,5.620915
1415,2014/2015,Ligue 1,760,1.187809,1.187809,1.058076,1.058076,1.246053,1.246053,1.366054,9.908008,9.908008,4.307895,4.307895
1415,2014/2015,Premier League,760,1.271716,1.271716,1.18791,1.18791,1.282895,1.282895,1.374987,10.892299,10.892299,6.368421,6.368421
1415,2014/2015,Serie A,760,1.291531,1.291531,1.172555,1.172555,1.347368,1.347368,1.375263,9.915755,9.915755,5.930263,5.930263
1516,2015/2016,Bundesliga,612,1.41223,1.41223,1.305681,1.305681,1.415033,1.415033,1.38615,10.275173,10.275173,6.009804,6.009804
1516,2015/2016,Ligue 1,760,1.201833,1.201833,1.109402,1.109402,1.263158,1.263158,1.370556,10.424069,10.424069,4.757895,4.757895
1516,2015/2016,Premier League,760,1.290796,1.290796,1.199539,1.199539,1.35,1.35,1.379052,10.243747,10.243747,6.327632,6.327632
1516,2015/2016,Serie A,760,1.258333,1.258333,1.136154,1.136154,1.288158,1.288158,1.375171,9.454848,9.454848,5.452632,5.452632
1617,2016/2017,Bundesliga,612,1.376994,1.376994,1.255225,1.255225,1.433007,1.433007,1.382504,10.206399,10.206399,6.026144,6.026144
1617,2016/2017,Ligue 1,760,1.269935,1.269935,1.144568,1.144568,1.307895,1.307895,1.375175,11.23087,11.23087,4.651316,4.651316
1617,2016/2017,Premier League,760,1.294142,1.294142,1.187354,1.187354,1.4,1.4,1.381842,11.155649,11.155649,6.618421,6.618421
1617,2016/2017,Serie A,760,1.377425,1.377425,1.23944,1.23944,1.477632,1.477632,1.384919,10.999297,10.999297,5.755263,5.755263
1718,2017/2018,Bundesliga,612,1.336037,1.336037,1.219858,1.219858,1.397059,1.397059,1.381381,11.002644,11.002644,5.924837,5.924837
1718,2017/2018,Ligue 1,760,1.281886,1.281886,1.152382,1.152382,1.359211,1.359211,1.379641,11.08884,11.08884,4.967105,4.967105
1718,2017/2018,Premier League,760,1.305222,1.305222,1.224263,1.224263,1.339474,1.339474,1.385192,12.978451,12.978451,6.684211,6.684211
1718,2017/2018,Serie A,760,1.28257,1.28257,1.155702,1.155702,1.338158,1.338158,1.383022,12.39613,12.39613,6.027632,6.027632
1819,2018/2019,Bundesliga,612,1.592485,1.592485,1.479491,1.479491,1.589869,1.589869,1.397281,13.277777,13.277777,6.356209,6.356209
1819,2018/2019,Ligue 1,760,1.275712,1.275712,1.135696,1.135696,1.278947,1.278947,1.374011,11.486808,11.486808,4.932895,4.932895
1819,2018/2019,Premier League,760,1.427946,1.427946,1.324464,1.324464,1.410526,1.410526,1.389246,13.136067,13.136067,6.869737,6.869737
1819,2018/2019,Serie A,760,1.373844,1.373844,1.251226,1.251226,1.340789,1.340789,1.379733,11.842817,11.842817,6.253947,6.253947
1920,2019/2020,Bundesliga,612,1.564206,1.564206,1.473776,1.473776,1.604575,1.604575,1.394444,12.42826,12.42826,5.874183,5.874183
1920,2019/2020,Ligue 1,558,1.239999,1.239999,1.118101,1.118101,1.261649,1.261649,1.372535,12.041517,12.041517,4.820789,4.820789
1920,2019/2020,Premier League,760,1.425333,1.425333,1.332183,1.332183,1.360526,1.360526,1.389207,12.676815,12.676815,6.536842,6.536842
1920,2019/2020,Serie A,760,1.495444,1.495444,1.308008,1.308008,1.518421,1.518421,1.389442,11.756802,11.756802,6.602632,6.602632
2021,2020/2021,Bundesliga,612,1.430207,1.430207,1.291964,1.291964,1.51634,1.51634,1.383571,12.883255,12.883255,6.388889,6.388889
2021,2020/2021,Ligue 1,760,1.329202,1.329202,1.167547,1.167547,1.380263,1.380263,1.37979,12.938355,12.938355,5.281579,5.281579
2021,2020/2021,Premier League,760,1.367508,1.367508,1.241861,1.241861,1.347368,1.347368,1.38673,13.604001,13.604001,6.643421,6.643421
2021,2020/2021,Serie A,760,1.497432,1.497432,1.3457,1.3457,1.526316,1.526316,1.389265,12.395547,12.395547,6.588158,6.588158
2122,2021/2022,Bundesliga,612,1.559773,1.559773,1.45562,1.45562,1.558824,1.558824,1.391474,12.263814,12.263814,6.696078,6.696078
2122,2021/2022,Ligue 1,760,1.358853,1.358853,1.23644,1.23644,1.403947,1.403947,1.381007,13.282543,13.282543,5.380263,5.380263
2122,2021/2022,Premier League,760,1.419357,1.419357,1.315298,1.315298,1.409211,1.409211,1.393577,13.575575,13.575575,6.927632,6.927632
2122,2021/2022,Serie A,760,1.437429,1.437429,1.294047,1.294047,1.432895,1.432895,1.387974,11.807872,11.807872,6.743421,6.743421
2223,2022/2023,Bundesliga,612,1.513342,1.513342,1.377789,1.377789,1.586601,1.586601,1.389741,12.564395,12.564395,6.795752,6.795752
2223,2022/2023,Ligue 1,760,1.47176,1.47176,1.328939,1.328939,1.403947,1.403947,1.389179,12.494449,12.494449,6.626316,6.626316
2223,2022/2023,Premier League,760,1.482318,1.482318,1.382746,1.382746,1.426316,1.426316,1.390921,13.096373,13.096373,7.175,7.175
2223,2022/2023,Serie A,760,1.327303,1.327303,1.218209,1.218209,1.281579,1.281579,1.38302,13.000275,13.000275,6.055263,6.055263
2324,2023/2024,Bundesliga,612,1.668226,1.668226,1.542355,1.542355,1.609477,1.609477,1.399523,14.354478,14.354478,7.423203,7.423203
2324,2023/2024,Ligue 1,612,1.482159,1.482159,1.351037,1.351037,1.349673,1.349673,1.387654,12.71434,12.71434,6.48366,6.48366
2324,2023/2024,Premier League,760,1.690271,1.690271,1.582552,1.582552,1.639474,1.639474,1.400154,13.639387,13.639387,8.3,8.3
