season_code,season,team_match_count,avg_xg_for,avg_xga,avg_npxg_for,avg_npxga,avg_goals_for,avg_goals_against,avg_xpts,avg_ppda,avg_ppda_allowed,avg_deep,avg_deep_allowed
1415,2014/2015,2892,1.26341,1.26341,1.15735,1.15735,1.310166,1.310166,1.373165,10.153265,10.153265,5.553596,5.553596
1516,2015/2016,2892,1.284584,1.284584,1.181656,1.181656,1.324689,1.324689,1.377301,10.090467,10.090467,5.617911,5.617911
1617,2016/2017,2892,1.3272,1.3272,1.204161,1.204161,1.403181,1.403181,1.381039,10.93345,10.93345,5.749308,5.749308
1718,2017/2018,2892,1.299658,1.299658,1.186423,1.186423,1.356501,1.356501,1.382357,11.910725,11.910725,5.899723,5.899723
1819,2018/2019,2892,1.408541,1.408541,1.288417,1.288417,1.395574,1.395574,1.384443,12.392782,12.392782,6.090249,6.090249
1920,2019/2020,2690,1.438291,1.438291,1.313158,1.313158,1.440149,1.440149,1.387007,12.228554,12.228554,6.048699,6.048699
2021,2020/2021,2892,1.404853,1.404853,1.260223,1.260223,1.438797,1.438797,1.384904,12.958976,12.958976,6.217151,6.217151
2122,2021/2022,2892,1.437921,1.437921,1.318684,1.318684,1.445712,1.445712,1.388356,12.756434,12.756434,6.423582,6.423582
2223,2022/2023,2892,1.445372,1.445372,1.324317,1.324317,1.416321,1.416321,1.388137,12.800361,12.800361,6.656293,6.656293
2324,2023/2024,2744,1.55189,1.55189,1.428084,1.428084,1.475583,1.475583,1.392808,13.639974,13.639974,7.005831,7.005831
