season_code,season,avg_total_shots_per_match,avg_team_shots_per_match,avg_xg_for_per_team_match,avg_goals_for_per_team_match,xg_per_shot_proxy,goals_per_xg,avg_ppda,avg_deep
1415,2014/2015,24.927,12.4635,1.26341,1.310166,0.101369,1.037008,10.153265,5.553596
1516,2015/2016,24.754,12.377,1.284584,1.324689,0.103788,1.03122,10.090467,5.617911
1617,2016/2017,24.98,12.49,1.3272,1.403181,0.106261,1.057249,10.93345,5.749308
1718,2017/2018,24.791,12.3955,1.299658,1.356501,0.104849,1.043737,11.910725,5.899723
1819,2018/2019,24.202,12.101,1.408541,1.395574,0.116399,0.990794,12.392782,6.090249
1920,2019/2020,23.725,11.8625,1.438291,1.440149,0.121247,1.001292,12.228554,6.048699
2021,2020/2021,23.037,11.5185,1.404853,1.438797,0.121965,1.024162,12.958976,6.217151
2122,2021/2022,24.913,12.4565,1.437921,1.445712,0.115435,1.005418,12.756434,6.423582
2223,2022/2023,25.004,12.502,1.445372,1.416321,0.115611,0.979901,12.800361,6.656293
2324,2023/2024,26.035,13.0175,1.55189,1.475583,0.119216,0.95083,13.639974,7.005831
